ISU Two-body matrix elements
Operator: Toy
Relevant constants: None
Quantum numbers: s' = 1, j' = 1, t' = 0, s = 1, j = 1, t = 0
nmax = 200, lmax = 2, NMAX = 10, LMAX = 0
N	L	n	l	Np	Lp	np	lp	Matrix Element
1	0	161	0	1	0	161	0	4.577227
1	0	162	0	1	0	162	0	4.585181
1	0	163	0	1	0	163	0	4.593111
1	0	164	0	1	0	164	0	4.601017
1	0	165	0	1	0	165	0	4.608899
1	0	166	0	1	0	166	0	4.616757
1	0	167	0	1	0	167	0	4.624592
1	0	168	0	1	0	168	0	4.632403
1	0	169	0	1	0	169	0	4.640191
1	0	170	0	1	0	170	0	4.647956
1	0	171	0	1	0	171	0	4.655699
1	0	172	0	1	0	172	0	4.663419
1	0	173	0	1	0	173	0	4.671117
1	0	174	0	1	0	174	0	4.678792
1	0	175	0	1	0	175	0	4.686446
1	0	176	0	1	0	176	0	4.694078
1	0	177	0	1	0	177	0	4.701688
1	0	178	0	1	0	178	0	4.709277
1	0	179	0	1	0	179	0	4.716845
1	0	180	0	1	0	180	0	4.724392
1	0	181	0	1	0	181	0	4.731918
1	0	182	0	1	0	182	0	4.739423
1	0	183	0	1	0	183	0	4.746908
1	0	184	0	1	0	184	0	4.754372
1	0	185	0	1	0	185	0	4.761817
1	0	186	0	1	0	186	0	4.769241
1	0	187	0	1	0	187	0	4.776645
1	0	188	0	1	0	188	0	4.784030
1	0	189	0	1	0	189	0	4.791395
1	0	190	0	1	0	190	0	4.798741
1	0	191	0	1	0	191	0	4.806068
1	0	192	0	1	0	192	0	4.813375
1	0	193	0	1	0	193	0	4.820664
1	0	194	0	1	0	194	0	4.827933
1	0	195	0	1	0	195	0	4.835184
1	0	196	0	1	0	196	0	4.842417
1	0	197	0	1	0	197	0	4.849631
1	0	198	0	1	0	198	0	4.856827
1	0	199	0	1	0	199	0	4.864005
1	0	200	0	1	0	200	0	4.871165
2	0	0	0	2	0	0	0	2.179587
2	0	1	0	2	0	1	0	2.269381
2	0	2	0	2	0	2	0	2.336726
2	0	3	0	2	0	3	0	2.392847
2	0	4	0	2	0	4	0	2.441953
2	0	5	0	2	0	5	0	2.486148
2	0	6	0	2	0	6	0	2.526660
2	0	7	0	2	0	7	0	2.564279
2	0	8	0	2	0	8	0	2.599546
2	0	9	0	2	0	9	0	2.632854
2	0	10	0	2	0	10	0	2.664497
2	0	11	0	2	0	11	0	2.694702
2	0	12	0	2	0	12	0	2.723647
2	0	13	0	2	0	13	0	2.751480
2	0	14	0	2	0	14	0	2.778319
2	0	15	0	2	0	15	0	2.804263
2	0	16	0	2	0	16	0	2.829396
2	0	17	0	2	0	17	0	2.853790
2	0	18	0	2	0	18	0	2.877506
2	0	19	0	2	0	19	0	2.900598
